asset,strategy_name,leverage,trades,wins,losses,liquidations,win_rate,total_r,average_r,profit_factor,max_drawdown_r,total_margin_return_pct,average_margin_return_pct
WLD,council_long,3.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,council_long,3.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,liquidity_sweep_reversal,3.0,2,1,1,0,0.5,1.1666666666666639,0.5833333333333319,1.0508399130531134e+16,2.220446049250313e-16,0.03790004819003864,0.01895002409501932
ALL,liquidity_sweep_reversal,3.0,2,1,1,0,0.5,1.1666666666666639,0.5833333333333319,1.0508399130531134e+16,2.220446049250313e-16,0.03790004819003864,0.01895002409501932
WLD,momentum_continuation,3.0,2,0,2,0,0.0,-2.0,-1.0,0.0,2.0,-0.14237286424761852,-0.07118643212380926
ALL,momentum_continuation,3.0,2,0,2,0,0.0,-2.0,-1.0,0.0,2.0,-0.14237286424761852,-0.07118643212380926
WLD,pullback_reclaim,3.0,6,3,3,0,0.5,7.333333333333334,1.2222222222222223,4.384615384615384,2.166666666666667,0.5344174818903842,0.08906958031506403
ALL,pullback_reclaim,3.0,6,3,3,0,0.5,7.333333333333334,1.2222222222222223,4.384615384615384,2.166666666666667,0.5344174818903842,0.08906958031506403
WLD,range_reclaim,3.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,range_reclaim,3.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,structure_retest,3.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,structure_retest,3.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,swing_breakout,3.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,swing_breakout,3.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
WLD,volatility_contraction_breakout,3.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
ALL,volatility_contraction_breakout,3.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
